text,song_title,album_title,writer_name,year
-0.010179924242424228,Watch That Man,Aladdin Sane,David Bowie,1973
0.13327922077922075,We All Go Through,"""",David Bowie,1999
0.1109375,We Are Hungry Men,David Bowie,David Bowie,1967
0.07931168831168828,We Are the Dead,Diamond Dogs,David Bowie,1974
-0.0875,We Prick You,Outside,David Bowie,1995
-0.02708333333333334,We Shall Go to Town,"""",David Bowie,1999
0.2304444444444444,The Wedding Song,Black Tie White Noise,David Bowie,1993
0.0,Weeping Wall,Low,David Bowie,1977
0.10611111111111111,What in the World,Low,David Bowie,1977
0.07499999999999998,What's Really Happening?,Hours,David Bowie,1999
0.13275862068965513,When I Live My Dream,David Bowie,David Bowie,1967
0.019934640522875798,When I Met You,Lazarus,David Bowie,2016
0.06643990929705215,When I'm Five,David Bowie,David Bowie,1968
0.1390751262626263,When the Boys Come Marching Home,Heathen,David Bowie,2002
-0.38119658119658123,When the Wind Blows,When the Wind Blows,David Bowie,1986
-0.06923076923076926,Where Are We Now?,The Next Day,David Bowie,2013
0.16290043290043288,Who Can I Be Now?,Young Americans,David Bowie,1991
0.03347222222222222,The Width of a Circle,The Man Who Sold the World,David Bowie,1970
0.011921296296296282,Wild Eyed Boy from Freecloud,David Bowie,David Bowie,1969
0.17077777777777775,Win,Young Americans,David Bowie,1975
-0.2601273148148148,Wishful Beginnings,Outside,David Bowie,1995
-0.02768595041322316,Within You,Labyrinth,David Bowie,1986
0.44000000000000006,Without You,Let's Dance,David Bowie,1983
0.06479591836734692,Wood Jackson,"""",David Bowie,2002
0.21701388888888895,Word on a Wing,Station to Station,David Bowie,1976
0.2196969696969697,Yassassin,Lodger,David Bowie,1979
0.036666666666666674,You Feel So Lonely You Could Die,The Next Day,David Bowie,2013
0.09074074074074073,(You Will) Set the World on Fire,The Next Day,David Bowie,2013
-0.16250000000000003,Your Turn to Drive,Nothing Has Changed,David Bowie,2014
-0.02884615384615382,You've Been Around,Black Tie White Noise,David Bowie,1993
0.16666666666666666,You've Got a Habit of Leaving ,"""",David Bowie,1965
0.08135785243223251,Young Americans,Young Americans,David Bowie,1975
0.13712962962962963,Zeroes,Never Let Me Down,David Bowie,1987
0.2339285714285714,Ziggy Stardust,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
